genus,species,n
Acropora,downingi,8
Acropora,millepora,3
Acropora,muricata,22
Acropora,pruinosa,69
Acropora,sp.,6
Cladocora,caespitosa,26
Dendrophyllia,cornigera,3
Leptastrea,purpurea,6
Lophelia,pertusa,117
Madrepora,oculata,3
Millepora,dichotoma,22
Montastraea,annularis,108
Montastraea,faveolata,6
Montipora,capitata,6
Orbicella,franksi,208
Pachyseris,speciosa,40
Palythoa,sp.,3
Plesiastrea,versipora,10
Pocillopora,damicornis,35
Pocillopora,spp,3
Pocillopora,spp.,282
Pocillopora,verrucosa,25
Porites,astreoides,9
Porites,lobata,22
Seriatopora,hystrix,27
Siderastrea,siderea,12
Stylophora,pistillata,39
Zoanthus,sp.,3
